DatasetID,PathID,PathString,path_fidelity,avg_time_us
0,132,n1->n11->n12->n13->n23->n33->n34->n44->n45->n46->n47->n57->n67->n68->n69->n79->n80->n70->n60->n59->n58->n48->n38->n28->n29->n19->n20->n10,0.600358,1658.060967
0,133,n1->n11->n21->n22->n32->n33->n43->n44->n54->n55->n65->n75->n76->n77->n78->n88->n98->n99->n100->n90->n80->n70->n60->n50->n40->n30->n20->n10,0.613758,1842.754420
0,130,n1->n2->n3->n13->n14->n15->n25->n35->n45->n55->n56->n57->n67->n68->n78->n79->n80->n70->n60->n50->n40->n39->n29->n19->n9->n10,0.632936,1850.573716
0,131,n1->n11->n12->n13->n14->n24->n34->n44->n43->n53->n63->n73->n83->n84->n94->n95->n96->n97->n98->n99->n89->n90->n80->n70->n69->n59->n49->n39->n29->n30->n20->n10,0.590612,1810.378322
0,136,n1->n2->n12->n22->n23->n24->n34->n44->n54->n64->n63->n73->n72->n82->n83->n84->n74->n75->n65->n66->n56->n57->n58->n48->n38->n28->n18->n8->n9->n10,0.610071,1702.825239
0,129,n1->n2->n12->n22->n23->n24->n25->n26->n36->n46->n56->n66->n76->n86->n96->n97->n98->n88->n89->n79->n69->n68->n58->n48->n47->n37->n27->n28->n18->n19->n9->n10,0.569539,1689.160801
0,134,n1->n11->n12->n13->n23->n33->n43->n42->n52->n62->n72->n71->n81->n91->n92->n93->n83->n84->n85->n86->n76->n66->n67->n57->n47->n37->n27->n28->n18->n8->n9->n10,0.581276,1873.995155
0,140,n1->n2->n3->n13->n23->n24->n25->n35->n45->n55->n65->n64->n74->n75->n85->n95->n96->n97->n87->n88->n78->n68->n69->n70->n60->n50->n40->n30->n20->n10,0.599192,1850.818082
0,147,n1->n2->n12->n22->n23->n24->n25->n35->n45->n55->n65->n66->n76->n77->n87->n88->n78->n68->n58->n48->n38->n28->n29->n19->n9->n10,0.594939,1563.552602
0,145,n1->n11->n21->n22->n32->n33->n34->n44->n54->n64->n65->n75->n76->n86->n87->n77->n78->n68->n69->n59->n60->n50->n40->n30->n20->n10,0.619199,1591.110033
0,128,n1->n2->n12->n22->n23->n24->n25->n35->n45->n55->n65->n66->n67->n77->n78->n79->n69->n70->n60->n50->n49->n48->n38->n28->n18->n8->n9->n10,0.608531,1638.049782
0,144,n1->n11->n12->n13->n23->n33->n34->n35->n45->n55->n56->n66->n76->n77->n67->n57->n47->n37->n27->n28->n18->n8->n9->n10,0.609409,1468.362730
0,148,n1->n11->n12->n13->n23->n33->n34->n35->n36->n46->n47->n57->n67->n77->n87->n88->n89->n79->n78->n68->n58->n48->n38->n37->n27->n17->n18->n19->n20->n10,0.584044,1493.645047
0,141,n1->n2->n3->n4->n14->n24->n25->n26->n36->n46->n56->n55->n65->n64->n74->n84->n94->n95->n96->n86->n76->n77->n67->n68->n58->n59->n49->n39->n29->n30->n20->n10,0.583316,1790.962989
0,138,n1->n2->n3->n4->n14->n24->n34->n44->n54->n64->n74->n73->n83->n84->n94->n95->n96->n97->n87->n88->n78->n79->n69->n59->n60->n50->n40->n30->n20->n10,0.582871,1830.956025
0,143,n1->n2->n3->n4->n14->n24->n34->n44->n54->n64->n65->n75->n85->n95->n96->n97->n98->n88->n89->n79->n69->n59->n49->n39->n29->n28->n18->n8->n9->n10,0.586926,1760.302730
0,137,n1->n11->n12->n13->n23->n33->n32->n42->n52->n51->n61->n71->n81->n82->n72->n73->n74->n64->n65->n55->n45->n35->n25->n15->n5->n6->n7->n8->n9->n10,0.596806,1821.231431
0,135,n1->n2->n12->n22->n21->n31->n32->n33->n34->n35->n45->n44->n43->n53->n63->n62->n72->n71->n81->n82->n83->n73->n74->n75->n65->n55->n56->n46->n36->n26->n16->n17->n18->n19->n20->n10,0.571818,1922.219940
0,146,n1->n2->n12->n13->n14->n15->n25->n35->n45->n55->n56->n66->n76->n86->n96->n97->n87->n88->n78->n77->n67->n57->n47->n46->n36->n26->n16->n6->n7->n8->n9->n10,0.578709,1874.955984
0,151,n1->n2->n3->n13->n14->n15->n25->n35->n45->n55->n65->n75->n76->n77->n78->n79->n89->n90->n80->n70->n60->n50->n40->n30->n20->n10,0.598511,1819.282583
0,150,n1->n11->n21->n22->n32->n33->n43->n44->n54->n55->n65->n75->n76->n77->n87->n97->n98->n99->n100->n90->n80->n79->n69->n59->n49->n39->n29->n30->n20->n10,0.608014,1834.604578
0,152,n1->n2->n12->n22->n23->n33->n34->n35->n36->n46->n56->n66->n76->n86->n87->n88->n89->n90->n80->n79->n69->n68->n58->n48->n38->n28->n29->n19->n9->n10,0.592436,1601.248656
0,142,n1->n2->n12->n13->n23->n24->n25->n35->n45->n55->n54->n64->n74->n75->n76->n66->n56->n46->n47->n37->n27->n28->n18->n8->n9->n10,0.592361,1665.115932
0,139,n1->n2->n3->n13->n23->n33->n43->n42->n41->n51->n61->n71->n81->n91->n92->n82->n83->n73->n74->n64->n65->n55->n45->n35->n36->n37->n38->n28->n18->n8->n9->n10,0.575909,1868.631805
0,154,n1->n2->n12->n22->n32->n33->n34->n44->n43->n53->n63->n62->n61->n71->n81->n91->n92->n93->n94->n95->n96->n86->n87->n77->n78->n68->n69->n59->n60->n50->n40->n30->n20->n10,0.574599,1973.890238
0,149,n1->n11->n12->n13->n23->n33->n34->n44->n45->n46->n56->n66->n67->n77->n78->n88->n89->n79->n80->n70->n60->n59->n58->n48->n47->n37->n27->n28->n18->n8->n9->n10,0.559823,1833.533738
0,153,n1->n11->n21->n22->n23->n24->n25->n26->n27->n28->n38->n48->n47->n57->n56->n66->n65->n64->n63->n73->n72->n82->n81->n91->n92->n93->n83->n84->n85->n75->n76->n77->n67->n68->n58->n59->n49->n39->n29->n19->n9->n10,0.550381,2209.354996
0,155,n1->n11->n12->n13->n14->n24->n34->n44->n54->n53->n63->n73->n83->n82->n92->n93->n94->n95->n85->n86->n87->n88->n89->n79->n69->n59->n49->n39->n29->n19->n9->n10,0.584861,1751.293222
